ID,NAME,SMILES,inchikey
YMDB00089,D-Erythro-imidazole-glycerol-phosphate,[H]O[C@@]([H])(C1=C([H])N([H])C([H])=N1)[C@]([H])(O[H])C([H])([H])OP(=O)(O[H])O[H],HFYBTHCYPKEDQQ-RITPCOANSA-N
YMDB00090,Citicoline,[H]O[C@@]1([H])[C@@]([H])(O[C@]([H])(C([H])([H])OP(=O)(O[H])OP([O-])(=O)OC([H])([H])C([H])([H])[N+](C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])[C@@]1([H])O[H])N1C([H])=C([H])C(=NC1=O)N([H])[H],RZZPDXZPRHQOCG-OJAKKHQRSA-N
YMDB00091,Ammonia,[H]N([H])[H],QGZKDVFQNNGYKY-UHFFFAOYSA-N
YMDB00092,5-[(5-phospho-1-deoxy-D-ribulos-1-ylimino)methylamino]-1-(5-phospho-D-ribosyl)imidazole-4-carboxamide,[H]C(NC1=C(N=CN1[C@@H]1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]1O)C(N)=O)=NCC(=O)[C@H](O)[C@H](O)COP(O)(O)=O,BLKFNHOCHNCLII-GHVQHMAVSA-N
YMDB00093,2-Dehydropantoic acid,CC(C)(CO)C(=O)C(O)=O,PKVVTUWHANFMQC-UHFFFAOYSA-N
YMDB00094,Methylisocitric acid,[H]OC(=O)C([H])([H])C([H])(C(=O)O[H])C(O[H])(C(=O)O[H])C([H])([H])[H],HHKPKXCSHMJWCF-UHFFFAOYSA-N
YMDB00095,Dimethylallylpyrophosphate,[H]OP(=O)(O[H])OP(=O)(O[H])OC([H])([H])C([H])=C(C([H])([H])[H])C([H])([H])[H],CBIDRCWHNCKSTO-UHFFFAOYSA-N
YMDB00096,(2R)-Homocitric acid,OC(=O)CC[C@@](O)(CC(O)=O)C(O)=O,XKJVEVRQMLKSMO-SSDOTTSWSA-N
YMDB00097,Adenosine monophosphate,[H]O[C@]1([H])[C@]([H])(O[H])[C@]([H])(O[C@@]1([H])N1C([H])=NC2=C1N=C([H])N=C2N([H])[H])C([H])([H])OP(=O)(O[H])O[H],UDMBCSSLTHHNCD-KQYNXXCUSA-N
YMDB00098,Uracil,[H]N1C([H])=C([H])C(=O)N([H])C1=O,ISAKRJDGNUQOIC-UHFFFAOYSA-N
YMDB00099,Tetradecanoyl-CoA ,[H]OC([H])(C(=O)N([H])C([H])([H])C([H])([H])C(=O)N([H])C([H])([H])C([H])([H])SC(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OC([H])([H])[C@@]1([H])O[C@@]([H])(N2C([H])=NC3=C2N=C([H])N=C3N([H])[H])[C@]([H])(O[H])[C@]1([H])OP(=O)(O[H])O[H],DUAFKXOFBZQTQE-XVDJLSDJSA-N
YMDB00100,3-Dehydroquinate,O[C@@H]1C[C@@](O)(CC(=O)[C@H]1O)C(O)=O,WVMWZWGZRAXUBK-SYTVJDICSA-N
YMDB00101,Fumaric acid,OC(=O)\C=C\C(O)=O,VZCYOOQTPOCHFL-OWOJBTEDSA-N
YMDB00102,"7,8-diaminononanoic acid",CC(N)C(N)CCCCCC(O)=O,KCEGBPIYGIWCDH-UHFFFAOYSA-N
YMDB00103,Nicotinamide riboside,[H]OC([H])([H])[C@@]1([H])O[C@@]([H])([N+]2=C([H])C([H])=C([H])C(=C2[H])C(=O)N([H])[H])[C@]([H])(O[H])[C@]1([H])O[H],JLEBZPBDRKPWTD-TURQNECASA-O
YMDB00104,L-Homoserine,[H]OC(=O)[C@@]([H])(N([H])[H])C([H])([H])C([H])([H])O[H],UKAUYVFTDYCKQA-VKHMYHEASA-N
YMDB00105,L-3-Hydroxykynurenine,[H]OC(=O)[C@@]([H])(N([H])[H])C([H])([H])C(=O)C1=C([H])C([H])=C([H])C(O[H])=C1N([H])[H],VCKPUUFAIGNJHC-LURJTMIESA-N
YMDB00106,2-Isopropylmalic acid,[H]OC(=O)C([H])([H])[C@@](O[H])(C(=O)O[H])C([H])(C([H])([H])[H])C([H])([H])[H],BITYXLXUCSKTJS-ZETCQYMHSA-N
YMDB00107,Pyroglutamic acid,[H]OC(=O)[C@@]1([H])N([H])C(=O)C([H])([H])C1([H])[H],ODHCTXKNWHHXJC-VKHMYHEASA-N
YMDB00108,"Fructose 1,6-bisphosphate",[H]O[C@@]1([H])[C@]([H])(O[H])[C@]([H])(O[C@@]1([H])C([H])([H])OP(=O)(O[H])O[H])C([H])([H])OP(=O)(O[H])O[H],WSMBXSQDFPTODV-JGWLITMVSA-N
YMDB00109,Adenosine triphosphate,[H]O[C@]1([H])[C@]([H])(O[H])[C@]([H])(O[C@@]1([H])N1C([H])=NC2=C1N=C([H])N=C2N([H])[H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OP(=O)(O[H])O[H],ZKHQWZAMYRWXGA-KQYNXXCUSA-N
YMDB00110,NAD,NC(=O)C1=CC=C[N+](=C1)[C@@H]1O[C@H](COP(O)(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=NC3=C(N)N=CN=C23)[C@@H](O)[C@H]1O,BAWFJGJZGIEFAR-NNYOXOHSSA-O
YMDB00111,D-Lactaldehyde,[H]O[C@@]([H])(C([H])=O)C([H])([H])[H],BSABBBMNWQWLLU-GSVOUGTGSA-N
YMDB00112,L-Serine,[H]OC(=O)[C@@]([H])(N([H])[H])C([H])([H])O[H],MTCFGRXMJLQNBG-REOHCLBHSA-N
YMDB00113,4-Phospho-L-aspartic acid,N[C@@H](CC(=O)OP(O)(O)=O)C(O)=O,IXZNKTPIYKDIGG-REOHCLBHSA-N
YMDB00114,Sulfite,[O-]S([O-])=O,LSNNMFCWUKXFEE-UHFFFAOYSA-L
