KEGG_id,color,width
C01269,#a8ddb5,W20
C05113,#a8ddb5,W20
C04916,#a8ddb5,W20
C00536,#a8ddb5,W20
C01642,#a8ddb5,W20
C01650,#a8ddb5,W20
C00533,#a8ddb5,W20
C01722,#a8ddb5,W20
C00519,#a8ddb5,W20
C01904,#a8ddb5,W20
C01990,#a8ddb5,W20
C02051,#a8ddb5,W20
C02084,#a8ddb5,W20
C02165,#a8ddb5,W20
C00490,#a8ddb5,W20
C00416,#a8ddb5,W20
C02191,#a8ddb5,W20
C02376,#a8ddb5,W20
C02412,#a8ddb5,W20
C02463,#a8ddb5,W20
C00900,#a8ddb5,W20
C02532,#a8ddb5,W20
C02553,#a8ddb5,W20
C02576,#a8ddb5,W20
C00313,#a8ddb5,W20
C02631,#a8ddb5,W20
C00621,#a8ddb5,W20
C01640,#a8ddb5,W20
C02739,#a8ddb5,W20
C00627,#a8ddb5,W20
C00886,#a8ddb5,W20
C00944,#a8ddb5,W20
C00870,#a8ddb5,W20
C00865,#a8ddb5,W20
C00804,#a8ddb5,W20
C00795,#a8ddb5,W20
C01010,#a8ddb5,W20
C00791,#a8ddb5,W20
C01024,#a8ddb5,W20
C01035,#a8ddb5,W20
C01036,#a8ddb5,W20
C01061,#a8ddb5,W20
C01097,#a8ddb5,W20
C01149,#a8ddb5,W20
C01172,#a8ddb5,W20
C00740,#a8ddb5,W20
C01242,#a8ddb5,W20
C01272,#a8ddb5,W20
C01302,#a8ddb5,W20
C01356,#a8ddb5,W20
C01551,#a8ddb5,W20
C01639,#a8ddb5,W20
C00668,#a8ddb5,W20
C00312,#a8ddb5,W20
C02493,#a8ddb5,W20
C00931,#a8ddb5,W20
C03125,#a8ddb5,W20
C03189,#a8ddb5,W20
C00221,#a8ddb5,W20
C00181,#a8ddb5,W20
C04556,#a8ddb5,W20
C00178,#a8ddb5,W20
C03543,#a8ddb5,W20
C03794,#a8ddb5,W20
C04500,#a8ddb5,W20
C03939,#a8ddb5,W20
C04409,#a8ddb5,W20
C04146,#a8ddb5,W20
C04188,#a8ddb5,W20
C04352,#a8ddb5,W20
C04332,#a8ddb5,W20
C04216,#a8ddb5,W20
C04302,#a8ddb5,W20
C04272,#a8ddb5,W20
C03175,#a8ddb5,W20
C03263,#a8ddb5,W20
C03090,#a8ddb5,W20
C04582,#a8ddb5,W20
C02741,#a8ddb5,W20
C04896,#a8ddb5,W20
C00268,#a8ddb5,W20
C00259,#a8ddb5,W20
C02934,#a8ddb5,W20
C02949,#a8ddb5,W20
C04823,#a8ddb5,W20
C04807,#a8ddb5,W20
C02972,#a8ddb5,W20
C02989,#a8ddb5,W20
C04666,#a8ddb5,W20
C04618,#a8ddb5,W20
C00235,#a8ddb5,W20
C03078,#a8ddb5,W20
C04294,#a8ddb5,W20
C00748,#a8ddb5,W20
C21214,#a8ddb5,W20
C00017,#a8ddb5,W20
C20641,#a8ddb5,W20
C20657,#a8ddb5,W20
C00087,#a8ddb5,W20
C00040,#a8ddb5,W20
C15522,#a8ddb5,W20
C00734,#a8ddb5,W20
C00309,#a8ddb5,W20
C00721,#a8ddb5,W20
C00524,#a8ddb5,W20
C00269,#a8ddb5,W20
C00370,#a8ddb5,W20
C16502,#a8ddb5,W20
C18091,#a8ddb5,W20
C16348,#a8ddb5,W20
C00381,#a8ddb5,W20
C00392,#a8ddb5,W20
C16238,#a8ddb5,W20
C00530,#a8ddb5,W20
C00681,#a8ddb5,W20
C00531,#a8ddb5,W20
C19967,#a8ddb5,W20
C19968,#a8ddb5,W20
C16739,#a8ddb5,W20
C00171,#a8ddb5,W20
C00165,#a8ddb5,W20
C00676,#a8ddb5,W20
C00677,#a8ddb5,W20
C20226,#a8ddb5,W20
C06615,#a8ddb5,W20
C00936,#a8ddb5,W20
C05729,#a8ddb5,W20
C06000,#a8ddb5,W20
C02603,#a8ddb5,W20
C02693,#a8ddb5,W20
C05921,#a8ddb5,W20
C05861,#a8ddb5,W20
C02835,#a8ddb5,W20
C02872,#a8ddb5,W20
C02918,#a8ddb5,W20
C03021,#a8ddb5,W20
C03028,#a8ddb5,W20
C03294,#a8ddb5,W20
C05726,#a8ddb5,W20
C02265,#a8ddb5,W20
C03360,#a8ddb5,W20
C03802,#a8ddb5,W20
C03885,#a8ddb5,W20
C05445,#a8ddb5,W20
C04047,#a8ddb5,W20
C04441,#a8ddb5,W20
C04506,#a8ddb5,W20
C04537,#a8ddb5,W20
C04554,#a8ddb5,W20
C04692,#a8ddb5,W20
C04748,#a8ddb5,W20
C06001,#a8ddb5,W20
C06033,#a8ddb5,W20
C00968,#a8ddb5,W20
C01573,#a8ddb5,W20
C00984,#a8ddb5,W20
C00996,#a8ddb5,W20
C00999,#a8ddb5,W20
C11924,#a8ddb5,W20
C01063,#a8ddb5,W20
C09815,#a8ddb5,W20
C01261,#a8ddb5,W20
C01288,#a8ddb5,W20
C01413,#a8ddb5,W20
C01507,#a8ddb5,W20
