C03221	#a8ddb5	W20
C03506	#a8ddb5	W20
C02041	#a8ddb5	W20
C01694	#a8ddb5	W20
C07209	#a8ddb5	W20
C00158	#a8ddb5	W20
C01100	#a8ddb5	W20
C18319	#a8ddb5	W20
C01126	#a8ddb5	W20
C00224	#a8ddb5	W20
C00088	#a8ddb5	W20
C06757	#a8ddb5	W20
C01077	#a8ddb5	W20
C00314	#a8ddb5	W20
C00100	#a8ddb5	W20
C15999	#a8ddb5	W20
C02946	#a8ddb5	W20
C05985	#a8ddb5	W20
C02504	#a8ddb5	W20
C00091	#a8ddb5	W20
C01245	#a8ddb5	W20
C04002	#a8ddb5	W20
C00570	#a8ddb5	W20
C04691	#a8ddb5	W20
C00415	#a8ddb5	W20
C20227	#a8ddb5	W20
C15650	#a8ddb5	W20
C05275	#a8ddb5	W20
C01192	#a8ddb5	W20
C00804	#a8ddb5	W20
C11822	#a8ddb5	W20
C00268	#a8ddb5	W20
C15556	#a8ddb5	W20
C01035	#a8ddb5	W20
C01300	#a8ddb5	W20
C20247	#a8ddb5	W20
C01304	#a8ddb5	W20
C04895	#a8ddb5	W20
C00810	#a8ddb5	W20
C03406	#a8ddb5	W20
C04593	#a8ddb5	W20
C02700	#a8ddb5	W20
C00244	#a8ddb5	W20
C02949	#a8ddb5	W20
C00449	#a8ddb5	W20
C01169	#a8ddb5	W20
C04751	#a8ddb5	W20
C00178	#a8ddb5	W20
C05267	#a8ddb5	W20
C00870	#a8ddb5	W20
C00245	#a8ddb5	W20
C06369	#a8ddb5	W20
C04281	#a8ddb5	W20
C16528	#a8ddb5	W20
C00032	#a8ddb5	W20
C06316	#a8ddb5	W20
C00341	#a8ddb5	W20
C01149	#a8ddb5	W20
C06325	#a8ddb5	W20
C03722	#a8ddb5	W20
C05276	#a8ddb5	W20
C00568	#a8ddb5	W20
C01419	#a8ddb5	W20
C00490	#a8ddb5	W20
C02223	#a8ddb5	W20
C01031	#a8ddb5	W20
C15780	#a8ddb5	W20
C02576	#a8ddb5	W20
C00579	#a8ddb5	W20
C02376	#a8ddb5	W20
C00143	#a8ddb5	W20
C06007	#a8ddb5	W20
C03078	#a8ddb5	W20
C01279	#a8ddb5	W20
C00864	#a8ddb5	W20
C03630	#a8ddb5	W20
C00544	#a8ddb5	W20
C00086	#a8ddb5	W20
C02050	#a8ddb5	W20
C02944	#a8ddb5	W20
C00248	#a8ddb5	W20
C00860	#a8ddb5	W20
C00506	#a8ddb5	W20
C00606	#a8ddb5	W20
C03805	#a8ddb5	W20
C00062	#a8ddb5	W20
C05123	#a8ddb5	W20
C00445	#a8ddb5	W20
C00741	#a8ddb5	W20
C11514	#a8ddb5	W20
C16241	#a8ddb5	W20
C00313	#a8ddb5	W20
