smile,score,sim_smile,inchikey0
CCCCCCCCCCCCCCCCCCCCCCCCCC(=O)NC(CO)C(O)C(O)CCCCCCCCCCCCCC,1,,GKRXVCWVXYHWOD
CCCCCC(O)CC(=O)O,1,,NDPLAKGOSZHTPH
CC(N)C(N)CCCCCC(=O)O,1,,KCEGBPIYGIWCDH
O=P1(O)OP(=O)(O)OP(=O)(O)O1,1,,AZSFNUJOCKMOGB
O=C([O-])c1cc(=O)[nH]c(=O)[nH]1,1,,PXQPEWDEAKTCGB
CCC(C)C(=O)C(=O)[O-],1,,JVQYSWDUAOAHFM
CC(=O)NCCCC(=O)O,1,,UZTFMUBKZQVKLK
CC(=O)NCCCCNCCCN,1,,FONIWJIDLJEJTL
OCC(O)C(O)C(O)CO,1,,HEBKCHPVOIAQTA
CCCCC=CCCCCCCCCCC(=O)OCC(COP(=O)(O)OC1C(O)C(O)C(O)C(O)C1O)OC(=O)CCCCCCCCCC=CCCCCCC,1,,GULKBQLAUIUCBO
CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCOP(=O)(O)OP(=O)(O)O,1,,LSJLEXWXRKTZAJ
CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCOP(=O)(O)OP(=O)(O)O,1,,IKKLDISSULFFQO
NC(CCC(=O)NC(CSC=O)C(=O)NCC(=O)O)C(=O)O,1,,FHXAGOICBFGEBF
CCCCCCCCCCCCCCCC(=O)CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O,1,,LGOGWHDPDVAUNY
CCCCCCC=CCCCCCCCC(=O)OCC(COC(=O)CCCCCCCC=CCCCCCCCC)OC(=O)CCCCCCCC=CCCCCCCCC,1,,YBWITEZBUYUNFC
CC(=O)NCCCNCCCCN,1,,MQTAVJHICJWXBR
CCCCCCCCCCCCCCCCCCCCCC(O)CC(=O)SCCN=C([O-])CCN=C([O-])C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)([O-])[O-],1,,QIBKBVRVOFIKLN
CC(=O)C(C)=O,1,,QSJXEFYPDANLFS
CCCCCCC=CCCCCCCCC(=O)OCC(COP(=O)(O)OCCN)OC(=O)CCCCCCCC=CCCCCCCCC,1,,RAMNOXDFBNFSFC
NCC(=O)NC(CC(N)=O)C(=O)O,1,,FUESBOMYALLFNI
O=CC(O)COP(=O)(O)O,1,,LXJXRIRHZLFYRP
CCCCCCC=CCCCCCC=CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O,1,,BEQWCBBSKHMRCA
O=c1ccn(C2OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C2O)c(=O)[nH]1,1,,PGAVKCOVUIYSFO
CCCCCCCCCCCCCCCCCCCCCCCC(=O)NC(COP(=O)(O)OC1C(O)C(O)C(O)C(O)C1OC1OC(COP(=O)(O)OC2C(O)C(O)C(O)C(O)C2O)C(O)C(O)C1O)C(O)C(O)CCCCCCCCCCCCCC,1,,UGJKYEVDBCDQBN
CCCCCCC=CCCCCCCCC(=O)OCC(COP(=O)(O)OCC(O)COP(=O)(O)OCC(COC(=O)CCCCCCCCCCCCCCC)OC(=O)CCCCCCCC=CCCCCCC)OC(=O)CCCCCCCC=CCCCCCC,1,,VBKVDKSJQJMNLZ
CCCCCCCCCCCCCCCCCCCCCCCC(=O)NC(CO)C(O)CCCCCCCCCCCCCCC,1,,BPLYVSYSBPLDOA
CC(=O)c1ccccc1,1,,KWOLFJPFCHCOCG
CCCCCO,1,,AMQJEAYHLZJPGS
CCCCCCCCC=CCCCCCCCC(=O)OCC(O)COP(=O)([O-])OCC[N+](C)(C)C,1,,YAMUFBLWGFFICM
O=C(O)Cc1cnc[nH]1,1,,PRJKNHOMHKJCEJ
CCCCC=CCCCCCCCCCC(=O)OCC(COP(=O)(O)OC1C(O)C(O)C(O)C(O)C1O)OC(=O)CCCCCCCCCC=CCCCC,1,,HQZIWVLYTWVNSS
CCCCC=CCCCCCCCCCC(=O)OCC(COP(=O)(O)OCC(O)COP(=O)(O)OCC(COC(=O)CCCCCCCC=CCCCCCCCC)OC(=O)CCCCCCCCCC=CCCCCCC)OC(=O)CCCCCCCC=CCCCCCCCC,1,,WJWROXYLORCAHD
NCCCN,1,,XFNJVJPLKCPIBV
CC(C)C(=CC(=O)O)C(=O)O,1,,NJMGRJLQRLFQQX
CCCCC=CCCCCCCCCCC(=O)OCC(COP(=O)(O)OCC(O)CO)OC(=O)CCCCCCCCCC=CCCCCCC,1,,ALVCRHXRTVVOHD
CC(CCCC(C)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CCC12C)C(=O)O,1,,ITZYGDKGRKKBSN
CC(O)(CCO)CC(=O)O,1,,KJTLQQUUPVSXIM
CC(O)C(C)O,1,,OWBTYPJTUOEWEK
O=P([O-])([O-])OCC1OC(O)(CO)C(O)C1O,1,,BGWGXPAPYGQALX
NC(C(=O)O)C(=O)COP(=O)(O)O,1,,LMKSRFWSQAKTOE
O=CC=Cc1ccccc1,1,,KJPRLNWUNMBNBZ
NC(CCCC=O)C(=O)O,1,,GFXYTQPNNXGICT
CCCCCCC=CCCCCCCCC(=O)OC(COC(=O)CCCCCCCCCCCCCCC)COP(=O)(O)OCCNC,1,,HHJZVMIJMZTDJC
O=P(O)(O)OCC(O)C(O)c1c[nH]c2ccccc12,1,,NQEQTYPJSIEPHW
N#CC(O)c1ccccc1,1,,NNICRUQPODTGRU
CCCCCCC=CC=CCC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O,1,,ARQUZFJQPYWSSL
O=C(C(=O)c1ccccc1)c1ccccc1,1,,WURBFLDFSFBTLW
NC(C(=O)O)C(O)C(=O)O,1,,YYLQUHNPNCGKJQ
CCCCCCC=CCCCCCCCC(=O)OC(COC(=O)CCCCCCCCCCCCCCCCC)COP(=O)(O)OCC(N)C(=O)O,1,,BWQAJZLCZFRDSD
CCCCC=CCCCCCCCCCC(=O)OCC(COP(=O)(O)OCC(O)COP(=O)(O)OCC(COC(=O)CCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCC=CCCCC)OC(=O)CCCCCCCCCCCCCCCCC,1,,OADXMNHTJMBKEP
CCCCC=CCCCCCCCCCC(=O)OC(COC(=O)CCCCCCCC=CCCCCCC)COP(=O)(O)OCC(O)COP(=O)(O)OCC(COC(=O)CCCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCC=CCCCCCC,1,,MZLMSAWFKXXFLM
CC1(CC(=O)O)C2=Cc3[nH]c(c(CCC(=O)O)c3CC(=O)O)Cc3[nH]c(c(CC(=O)O)c3CCC(=O)O)C=C3N=C(C=C(N2)C1CCC(=O)O)C(C)(CC(=O)O)C3CCC(=O)O,1,,CSWLXNNNLVVXKD
CCCCCCC=CCCCCCCCCCC(=O)OC(COC(=O)CCCCCCCC=CCCCCCCCC)COP(=O)(O)OCC(O)COP(=O)(O)OCC(COC(=O)CCCCCCCC=CCCCCCC)OC(=O)CCCCCCCC=CCCCCCCCC,1,,WXMSFCUVWZYCQO
Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(CC(O)C(O)C(O)COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(O)C3O)c2cc1C,1,,VWWQXMAJTJZDQX
CCCCCCCCC=CCCCCCC(O)CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O,1,,LHAYYTCFPMUQNR
CCCCCCOC(C)=O,1,,AOGQPLXWSUTHQB
NCCOP(=O)(O)O,1,,SUHOOTKUPISOBE
