Name,Group,class,yeast8_reaction_lst,yeast8_reaction_num,yeast8U_reaction_lst,yeast8U_reaction_num
2-Oxoglutarate,native,organic acid,"['r_0018', 'r_0068', 'r_0216', 'r_0471', 'r_0472', 'r_0659', 'r_0663', 'r_0681', 'r_0699', 'r_0819', 'r_0851', 'r_1029', 'r_1056', 'r_1063', 'r_1087', 'r_1099', 'r_1112', 'r_1587', 'r_1588', 'r_1647', 'r_1652', 'r_4226', 'r_4260', 'r_4336', 'r_4355', 'r_4570', 'r_4572', 'r_4702', 'r_4706', 'r_4761', 'r_4767']",31,"['r_0018', 'r_0068', 'r_0216', 'r_0471', 'r_0472', 'r_0659', 'r_0663', 'r_0681', 'r_0699', 'r_0819', 'r_0851', 'r_1029', 'r_1056', 'r_1063', 'r_1087', 'r_1099', 'r_1112', 'r_1587', 'r_1588', 'r_1647', 'r_1652', 'r_4226', 'r_4260', 'r_4336', 'r_4355', 'r_4570', 'r_4572', 'r_4702', 'r_4706', 'r_4761', 'r_4767', 'rxn26967', 'rxn26968', 'rxn26970', 'rxn26972', 'rxn28944', 'rxn29849', 'rxn32959', 'rxn32963', 'rxn33003', 'rxn17229', 'rxn17234', 'rxn42199', 'rxn39714', 'rxn39738', 'rxn40171', 'rxn40175', 'rxn40179', 'rxn40195', 'rxn14110', 'rxn14120', 'rxn14130', 'rxn42704', 'rxn15992', 'rxn16677', 'rxn16682', 'rxn49031', 'rxn45231', 'rxn45232', 'rxn45234', 'rxn45236', 'rxn54379', 'rxn54383', 'rxn54387', 'rxn62836', 'rxn62846', 'rxn60191', 'rxn11523', 'rxn11528', 'rxn9411', 'rxn9412', 'rxn9413', 'rxn70219', 'rxn70220', 'rxn70221', 'rxn70222', 'rxn8584', 'rxn10964', 'rxn6568', 'rxn5212', 'rxn3548', 'rxn4257', 'rxn904']",83
L-citrulline,native,amino acid,"['r_0208', 'r_4469']",2,"['r_0208', 'r_4469']",2
L-threonine,native,amino acid,"['r_0692', 'r_1040', 'r_1042', 'r_1218', 'r_2072', 'r_4247', 'r_4441']",7,"['r_0692', 'r_1040', 'r_1042', 'r_1218', 'r_2072', 'r_4247', 'r_4441']",7
L-homoserine,native,amino acid,"['r_0548', 'r_0549', 'r_1895']",3,"['r_0548', 'r_0549', 'r_1895', 'rxn9413', 'rxn9416', 'rxn9419', 'rxn9422', 'rxn6507']",8
L-arginine,native,amino acid,"['r_0206', 'r_0207', 'r_0209', 'r_1184', 'r_1185', 'r_1657', 'r_4161', 'r_4366']",8,"['r_0206', 'r_0207', 'r_0209', 'r_1184', 'r_1185', 'r_1657', 'r_4161', 'r_4366', 'rxn16119']",9
L-proline,native,amino acid,"['r_0941', 'r_1216', 'r_1905']",3,"['r_0941', 'r_1216', 'r_1905', 'rxn27880', 'rxn30021', 'rxn39231', 'rxn9411', 'rxn9414', 'rxn9417', 'rxn9420']",10
L-valine,native,amino acid,"['r_1087', 'r_1089', 'r_1224', 'r_2093']",4,"['r_1087', 'r_1089', 'r_1224', 'r_2093', 'rxn8147', 'rxn4539', 'rxn4540', 'rxn4541', 'rxn4542', 'rxn4544', 'rxn5137']",11
L-histidine,native,amino acid,"['r_0539', 'r_0541', 'r_1200', 'r_1201', 'r_1837', 'r_4162']",6,"['r_0539', 'r_0541', 'r_1200', 'r_1201', 'r_1837', 'r_4162', 'rxn20840', 'rxn12503', 'rxn5719', 'rxn5797', 'rxn1619', 'rxn9']",12
L-tryptophan,native,amino acid,"['r_0694', 'r_1056', 'r_1057', 'r_1219', 'r_2082', 'r_2118']",6,"['r_0694', 'r_1056', 'r_1057', 'r_1219', 'r_2082', 'r_2118', 'rxn36003', 'rxn37945', 'rxn37946', 'rxn37948', 'rxn45429', 'rxn49749', 'rxn12684', 'rxn4724', 'rxn865']",15
L-asparagine,native,amino acid,"['r_0212', 'r_0679', 'r_1186', 'r_1187', 'r_1658']",5,"['r_0212', 'r_0679', 'r_1186', 'r_1187', 'r_1658', 'rxn28926', 'rxn21037', 'rxn25061', 'rxn16320', 'rxn45231', 'rxn45238', 'rxn45245', 'rxn45247', 'rxn45249', 'rxn49583', 'rxn49608', 'rxn68336', 'rxn7428']",18
Glutathione,native,amino acid,"['r_0443', 'r_0457', 'r_0483', 'r_0697', 'r_0964', 'r_1168', 'r_4171', 'r_4188', 'r_4200', 'r_4208', 'r_4618']",11,"['r_0443', 'r_0457', 'r_0483', 'r_0697', 'r_0964', 'r_1168', 'r_4171', 'r_4188', 'r_4200', 'r_4208', 'r_4618', 'rxn14248', 'rxn17950', 'rxn38461', 'rxn43258', 'rxn15976', 'rxn63103', 'rxn8518', 'rxn5993']",19
